name,version,batch,status,tasks_finished,dur_mins,started,progressed,complete,assignmentId,hitId,trials,return,profile,workerId,pid
sought-redfish,4,a,finished,3,13,2021-10-13 20:40:07.425,2021-10-13 21:18:52.813,1,prolific_6165a5744ac311682252f608,61673e7638e7a744daf5ecb9,0,https://cri-datacap.org/surveys/?s=jAVrVKMMMM,0,610844f8fbe30946464b0821,13334
tough-blowfish,4,a,finished,3,13,2021-10-13 20:55:54.588,2021-10-13 21:09:20.860,1,prolific_6165a5744ac311682252f608,61673fcdb274850873e4fbbc,0,https://cri-datacap.org/surveys/?s=RhZ5vRhJsW,0,61098efe1c7dcf4133162908,13334
inviting-pangolin,4,a,finished,3,13,2021-10-13 20:57:56.658,2021-10-13 21:09:15.634,0,prolific_6165a5744ac311682252f608,61674626ef0767034822ccf4,0,https://cri-datacap.org/surveys/?s=Vy9QuYQaA3,2,615f7fdf1f3a4a1f73923650,13334
enhanced-gopher,4,a,finished,3,13,2021-10-13 21:25:58.906,2021-10-13 21:36:55.696,1,prolific_6165a5744ac311682252f608,6167381153f1a1b8a4d401b3,0,https://cri-datacap.org/surveys/?s=iZINX97imj,0,6110c7c7357c98e590084151,13334
oriented-louse,4,a,finished,3,13,2021-10-13 21:36:10.388,2021-10-13 21:48:00.144,0,prolific_6165a5744ac311682252f608,61674f888474bd98c0a77a87,0,https://cri-datacap.org/surveys/?s=AYQUDfZo7A,2,615630f6686c2ea1a0766e23,13334
tidy-perch,4,a,finished,3,13,2021-10-13 22:18:24.124,2021-10-13 22:29:14.991,1,prolific_6165a5744ac311682252f608,61674ff2e8e9fe7efb6ab70f,0,https://cri-datacap.org/surveys/?s=cyJMonDGsG,0,5e95116fcd40fa88e616d9d9,13334
free-killdeer,4,a,finished,3,13,2021-10-13 22:27:48.362,2021-10-13 22:41:42.388,0,prolific_6165a5744ac311682252f608,61675a7e5c69563b7cc007a4,0,https://cri-datacap.org/surveys/?s=pNunKdsg9C,2,60fdf5cb2412188c37b6d133,13334
golden-filly,4,a,started,1,1,2021-10-13 18:16:29.373,2021-10-13 18:16:46.262,0,prolific_6165a5744ac311682252f608,6167204795031412a05d4d3f,0,https://cri-datacap.org/surveys/?s=zIoj3Qfvx3,2,5edbfd2c7bdc7e7e3201d6fb,13334
enabled-kangaroo,4,a,started,1,1,2021-10-13 20:03:46.484,2021-10-13 20:04:54.175,0,prolific_6165a5744ac311682252f608,616736b350707a194836de77,0,https://cri-datacap.org/surveys/?s=kLHIjaAYzE,2,61607fcdcefefeb3b0803e42,13334
fair-koi,4,a,started,1,8,2021-10-13 21:20:54.995,2021-10-13 21:28:09.774,0,prolific_6165a5744ac311682252f608,61674be5dc1522e190585e19,0,https://cri-datacap.org/surveys/?s=ftCUdAhSRV,2,6102fae2f2f50dbac19a3255,13334
light-ladybird,4,a,started,0,0,2021-10-14 15:54:54.410,2021-10-14 15:54:54.410,0,prolific_6165a5744ac311682252f608,61670a801bd91b39faa3af58,0,https://cri-datacap.org/surveys/?s=H5Qt553TfH,2,6160807f3d79587b4ffd25b7,13334
