session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
606d1b3da1a3ffba73e6af22,5d168a41d9ef120017ab26b0,RETURNED,2021-04-07 02:38:55.400000,,137443.748637,25,275,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1b4190cf3da35d9bf707,5f081d1c3f66b445d217bbb9,AWAITING REVIEW,2021-04-07 02:47:01.228000,2021-04-07 04:17:37.330000,5436.102,19,419,4,99,,4A526F60,United States,United States,Part-Time,Urdu,United States,Female,Yes
606d1b444f794f9b9986a650,5eeabb4143299b1e176fb83e,RETURNED,2021-04-07 02:39:04.175000,,137434.985548,22,686,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1b657b260dee7dc2e223,600c3d125bb49925d7d95f53,AWAITING REVIEW,2021-04-07 02:39:32.895000,2021-04-07 03:55:51.536000,4578.641,18,196,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,Yes
606d1b96110bc0a8344cc985,6028db0f6150ab440f4050bd,AWAITING REVIEW,2021-04-07 02:40:22.798000,2021-04-07 03:48:32.210000,4089.412,25,191,1,100,,4A526F60,United States,United States,Part-Time,DATA EXPIRED,United States,Male,Yes
606d1ba8b90db3328ae73623,604915b55a0801e6db049b15,AWAITING REVIEW,2021-04-07 02:40:45.787000,2021-04-07 03:16:32.627000,2146.84,21,99,1,100,,NOCODE,United States,United States,Other,DATA EXPIRED,United States,Male,Yes
606d1bce8310784c519a75e1,5e06ecd524f9390991997bb7,AWAITING REVIEW,2021-04-07 02:41:28.149000,2021-04-07 03:48:55.629000,4047.48,25,837,2,100,,4A526F60,United States,United States,Full-Time,English,United States,Female,No
606d1be1e9833ad10d4791f3,5fe282019f4b9ee83eb61fc3,RETURNED,2021-04-07 02:41:40.782000,,137278.440279,25,213,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1c192fd6eab1a0047cff,5f5ab8a355bc9f1c0e60eb83,AWAITING REVIEW,2021-04-07 02:42:35.733000,2021-04-07 03:33:21.967000,3046.234,19,315,4,98,,4A526F60,China,United States,DATA EXPIRED,DATA EXPIRED,United States,Prefer not to say,Yes
606d1c40491e3aefe8b77ee1,5d847ac9be4b0b00188463d7,RETURNED,2021-04-07 02:43:12.255000,,137186.983885,23,880,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1c7b8c27078e0f28c69f,5f99e87c962bbc0cf6dc92d2,RETURNED,2021-04-07 02:44:15.842000,,137123.397019,22,97,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1c913e3d0d2f48b8596d,5fc676bca0e5b62de0e2e4c0,AWAITING REVIEW,2021-04-07 02:44:36.250000,2021-04-07 03:25:38.906000,2462.656,24,263,1,100,,4A526F60,United States,United States,Other,DATA EXPIRED,United States,Female,No
606d1cc730ea2f57805dcbb5,605d7fc9cdf100b5d88d78fd,AWAITING REVIEW,2021-04-07 02:45:30.875000,2021-04-07 03:16:03.280000,1832.405,18,41,0,100,,4A526F60,United States,United States,Other,DATA EXPIRED,United States,Male,Yes
606d1ce801569371bd794a7c,5db3b031efa9f6000cf02400,RETURNED,2021-04-07 02:46:00.694000,,137018.574935,22,449,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1d2e41c25cb719516206,605ea4faab65cbea8a755ae3,AWAITING REVIEW,2021-04-07 02:48:14.988000,2021-04-07 03:38:49.168000,3034.18,25,47,0,100,,4A526F60,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No
606d1d33d201a1012ff4cad5,5f1e192b8d05fc380e73cf4d,AWAITING REVIEW,2021-04-07 02:47:18.475000,2021-04-07 03:39:02.275000,3103.8,23,404,0,100,,NOCODE,United States,United States,Full-Time,English,United States,Male,No
606d1d72c8cee6d6ac4d53ff,601a3ff7ca20ac23d38eb8d6,AWAITING REVIEW,2021-04-07 02:48:22.356000,2021-04-07 04:14:23.530000,5161.174,22,78,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
606d1d8c3f72ea7ac0bae589,5c3e5b3f3885c10001e23746,RETURNED,2021-04-07 02:48:47.232000,,136852.092997,20,164,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1d8fb8f500cc58ba0250,5b25d4db0ec82d0001d1fdde,RETURNED,2021-04-07 02:48:52.623000,,136846.702118,25,254,3,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1d985aceb185fd152602,5afeea460437f000017e0c97,AWAITING REVIEW,2021-04-07 02:49:08.194000,2021-04-07 03:44:27.487000,3319.293,21,199,0,100,,4A526F60,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,Yes
606d1daee689f208da0892f8,5fd1b85d74a3511ba1e4307a,AWAITING REVIEW,2021-04-07 02:49:23.260000,2021-04-07 03:54:34.933000,3911.673,18,68,1,99,,4A526F60,United States,United States,Other,DATA EXPIRED,United States,Male,Yes
606d1dc15a446b8a6e9ab01c,602e8659c8f632a329c1d938,AWAITING REVIEW,2021-04-07 02:49:37.887000,2021-04-07 03:41:37.848000,3119.961,21,166,0,100,,4A526F60,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
606d1dc7fcfc424a4c571a7f,5f481d20b6c2292b92677cf7,RETURNED,2021-04-07 02:49:43.511000,,136795.865935,24,435,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
606d1dd20cdea269fa3abd99,5f28e9ce38438d277ef9f564,AWAITING REVIEW,2021-04-07 02:50:00.268000,2021-04-07 03:11:27.286000,1287.018,25,193,2,99,,4A526F60,United States,Australia,Full-Time,English,United States,Female,No
606d1dec913f5dac3ae0f56c,5fda8fb68676a773fb103a75,AWAITING REVIEW,2021-04-07 02:50:32.071000,2021-04-07 03:50:35.355000,3603.284,22,270,0,100,,4A526F60,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Male,No
