subid,gender,condition,error,trial
20,2,0,3,25
20,2,0,2,26
20,2,0,0,27
20,2,0,2,28
20,2,0,2,29
20,2,0,1,30
20,2,0,3,31
20,2,0,6,32
20,2,0,2,33
20,2,0,3,34
20,2,0,3,35
20,2,0,0,36
20,2,0,0,37
20,2,0,1,38
20,2,0,0,39
20,2,0,3,40
20,2,0,3,41
20,2,0,0,42
21,2,0,0,1
21,2,0,6,2
21,2,0,1,3
21,2,0,3,4
21,2,0,2,5
21,2,0,4,6
21,2,0,3,7
21,2,0,5,8
21,2,0,1,9
21,2,0,1,10
21,2,0,1,11
21,2,0,3,12
21,2,0,2,13
21,2,0,5,14
21,2,0,1,15
21,2,0,0,16
21,2,0,2,17
21,2,0,3,18
21,2,0,3,19
21,2,0,3,20
21,2,0,3,21
21,2,0,4,22
21,2,0,2,23
21,2,0,1,24
21,2,0,3,25
21,2,0,2,26
21,2,0,0,27
21,2,0,2,28
21,2,0,5,29
21,2,0,3,30
21,2,0,3,31
21,2,0,1,32
21,2,0,2,33
21,2,0,4,34
21,2,0,2,35
21,2,0,0,36
21,2,0,3,37
21,2,0,3,38
21,2,0,0,39
21,2,0,1,40
21,2,0,3,41
21,2,0,0,42
22,1,0,0,1
22,1,0,0,2
22,1,0,3,3
22,1,0,1,4
22,1,0,2,5
22,1,0,5,6
22,1,0,3,7
22,1,0,1,8
22,1,0,3,9
22,1,0,3,10
22,1,0,1,11
22,1,0,1,12
22,1,0,1,13
22,1,0,1,14
22,1,0,0,15
22,1,0,1,16
22,1,0,4,17
22,1,0,1,18
22,1,0,1,19
22,1,0,1,20
22,1,0,2,21
22,1,0,4,22
22,1,0,4,23
22,1,0,5,24
22,1,0,1,25
22,1,0,0,26
22,1,0,3,27
22,1,0,6,28
22,1,0,1,29
22,1,0,3,30
22,1,0,2,31
22,1,0,5,32
22,1,0,2,33
22,1,0,2,34
22,1,0,2,35
22,1,0,7,36
22,1,0,1,37
22,1,0,3,38
22,1,0,3,39
22,1,0,1,40
22,1,0,0,41
22,1,0,4,42
23,2,0,3,1
23,2,0,4,2
23,2,0,4,3
23,2,0,4,4
23,2,0,5,5
23,2,0,4,6
23,2,0,4,7
23,2,0,1,8
23,2,0,4,9
23,2,0,8,10
23,2,0,3,11
23,2,0,8,12
23,2,0,2,13
